Fecha,Ciudad,Campaña,Categoría,Producto,Talla,Color,Unidades_Vendidas,Precio_Unitario,Ingresos,Devolución
2025-01-22,Vitoria,Rebajas,Chaquetas,Anorak,42,Rojo,1,120,120,No
2025-01-14,Donostia,Rebajas,Pantalones,Chándal,44,Gris,2,60,120,Sí
2025-01-10,Vitoria,Publicidad,Jerseys,Chaqueta de Lana,44,Blanco,1,130,130,No
2025-01-20,Donostia,Rebajas,Chaquetas,Plumífero,M,Rojo,4,150,600,Sí
2025-01-04,Bilbao,Publicidad,Calzado,Botas,38,Azul,4,110,440,No
2025-01-16,Bilbao,Rebajas,Calzado,Sandalias,38,Blanco,5,40,200,Sí
2025-01-12,Vitoria,Publicidad,Pantalones,Montaña,40,Verde,1,90,90,Sí
2025-01-19,Bilbao,Publicidad,Chaquetas,Anorak,S,Blanco,3,120,360,No
2025-01-10,Pamplona,Publicidad,Jerseys,Chaqueta de Lana,L,Verde,5,130,650,Sí
2025-01-07,Donostia,Rebajas,Pantalones,Montaña,S,Gris,3,90,270,Sí
2025-01-26,Bilbao,Publicidad,Calzado,Botas,L,Gris,3,110,330,No
2025-01-05,Bilbao,Rebajas,Jerseys,Chaqueta de Lana,XL,Negro,2,130,260,Sí
2025-01-15,Donostia,Rebajas,Chaquetas,Anorak,38,Verde,4,120,480,No
2025-01-01,Bilbao,Rebajas,Pantalones,Chándal,42,Verde,2,60,120,Sí
2025-01-28,Pamplona,Publicidad,Sportwear,Térmica,42,Negro,2,55,110,No
2025-01-21,Bilbao,Publicidad,Sportwear,Térmica,42,Azul,1,55,55,No
2025-01-22,Donostia,Publicidad,Jerseys,Chaqueta de Lana,L,Blanco,4,130,520,No
2025-01-04,Pamplona,Rebajas,Sportwear,Camisetas,S,Azul,3,30,90,Sí
2025-01-26,Vitoria,Publicidad,Chaquetas,Anorak,M,Gris,2,120,240,Sí
2025-01-03,Donostia,Publicidad,Sportwear,Térmica,L,Negro,3,55,165,Sí
2025-01-24,Donostia,Rebajas,Chaquetas,Anorak,L,Blanco,4,120,480,No
2025-01-09,Donostia,Publicidad,Calzado,Zapatillas,44,Azul,4,75,300,No
2025-01-08,Pamplona,Rebajas,Jerseys,Chaqueta de Lana,M,Azul,5,130,650,Sí
2025-01-05,Donostia,Rebajas,Sportwear,Térmica,42,Blanco,3,55,165,Sí
2025-01-13,Vitoria,Publicidad,Pantalones,Montaña,L,Blanco,2,90,180,Sí
2025-01-20,Vitoria,Rebajas,Jerseys,Chaqueta de Lana,40,Gris,3,130,390,Sí
2025-01-03,Donostia,Rebajas,Calzado,Zapatillas,S,Blanco,3,75,225,Sí
2025-01-03,Donostia,Rebajas,Chaquetas,Plumífero,S,Blanco,5,150,750,Sí
2025-01-12,Bilbao,Publicidad,Chaquetas,Plumífero,XL,Negro,1,150,150,No
2025-01-12,Donostia,Rebajas,Sportwear,Térmica,S,Verde,1,55,55,Sí
2025-01-27,Donostia,Publicidad,Calzado,Botas,L,Blanco,2,110,220,No
2025-01-12,Vitoria,Publicidad,Calzado,Sandalias,38,Azul,4,40,160,No
2025-01-04,Donostia,Rebajas,Calzado,Botas,38,Gris,5,110,550,Sí
2025-01-26,Vitoria,Publicidad,Sportwear,Camisetas,40,Gris,5,30,150,No
2025-01-17,Pamplona,Rebajas,Pantalones,Chándal,M,Verde,3,60,180,No
2025-01-07,Donostia,Rebajas,Jerseys,Chaqueta de Lana,42,Verde,4,130,520,No
2025-01-05,Donostia,Publicidad,Jerseys,Forro Polar,44,Blanco,3,80,240,Sí
2025-01-15,Vitoria,Rebajas,Pantalones,Montaña,38,Rojo,1,90,90,Sí
2025-01-06,Vitoria,Publicidad,Jerseys,Forro Polar,42,Verde,5,80,400,No
2025-01-25,Bilbao,Rebajas,Chaquetas,Anorak,S,Negro,5,120,600,No
2025-01-05,Donostia,Rebajas,Chaquetas,Plumífero,XL,Negro,5,150,750,Sí
2025-01-16,Bilbao,Rebajas,Calzado,Sandalias,42,Blanco,1,40,40,No
2025-01-03,Vitoria,Publicidad,Pantalones,Montaña,S,Negro,4,90,360,Sí
2025-01-18,Vitoria,Rebajas,Sportwear,Térmica,42,Blanco,5,55,275,Sí
2025-01-11,Bilbao,Rebajas,Chaquetas,Plumífero,38,Negro,3,150,450,No
2025-01-14,Bilbao,Rebajas,Sportwear,Mallas,42,Verde,3,45,135,Sí
2025-01-13,Pamplona,Publicidad,Chaquetas,Anorak,L,Azul,4,120,480,No
2025-01-21,Vitoria,Publicidad,Sportwear,Térmica,XL,Gris,4,55,220,Sí
2025-01-16,Bilbao,Rebajas,Calzado,Botas,M,Verde,4,110,440,No
2025-01-05,Donostia,Rebajas,Calzado,Botas,44,Rojo,4,110,440,No
2025-01-02,Donostia,Rebajas,Chaquetas,Anorak,38,Gris,4,120,480,Sí
2025-01-26,Vitoria,Publicidad,Chaquetas,Plumífero,L,Negro,3,150,450,Sí
2025-01-26,Bilbao,Publicidad,Sportwear,Camisetas,S,Negro,5,30,150,Sí
2025-01-26,Bilbao,Publicidad,Calzado,Botas,44,Verde,5,110,550,No
2025-01-11,Bilbao,Publicidad,Chaquetas,Anorak,42,Blanco,3,120,360,Sí
2025-01-22,Donostia,Publicidad,Calzado,Sandalias,S,Verde,4,40,160,No
2025-01-19,Vitoria,Publicidad,Chaquetas,Anorak,40,Negro,1,120,120,Sí
2025-01-18,Donostia,Publicidad,Jerseys,Chaqueta de Lana,L,Negro,1,130,130,No
2025-01-10,Bilbao,Rebajas,Calzado,Zapatillas,S,Negro,4,75,300,No
2025-01-18,Bilbao,Publicidad,Jerseys,Forro Polar,38,Azul,4,80,320,Sí
2025-01-08,Bilbao,Publicidad,Jerseys,Forro Polar,42,Azul,5,80,400,Sí
2025-01-08,Donostia,Publicidad,Sportwear,Camisetas,XL,Blanco,2,30,60,Sí
2025-01-10,Vitoria,Publicidad,Sportwear,Mallas,S,Verde,1,45,45,Sí
2025-01-21,Pamplona,Publicidad,Pantalones,Montaña,40,Blanco,2,90,180,No
2025-01-06,Donostia,Rebajas,Jerseys,Forro Polar,40,Rojo,3,80,240,No
2025-01-12,Vitoria,Rebajas,Sportwear,Mallas,44,Blanco,1,45,45,No
2025-01-24,Bilbao,Publicidad,Pantalones,Chándal,44,Verde,5,60,300,No
2025-01-27,Vitoria,Publicidad,Chaquetas,Plumífero,40,Gris,2,150,300,Sí
2025-01-16,Donostia,Publicidad,Pantalones,Montaña,38,Rojo,3,90,270,No
2025-01-15,Donostia,Publicidad,Chaquetas,Plumífero,44,Verde,2,150,300,No
2025-01-13,Vitoria,Rebajas,Calzado,Sandalias,44,Verde,2,40,80,No
2025-01-07,Pamplona,Rebajas,Sportwear,Mallas,42,Blanco,2,45,90,No
2025-01-03,Bilbao,Rebajas,Pantalones,Chándal,44,Rojo,3,60,180,No
2025-01-16,Vitoria,Rebajas,Jerseys,Chaqueta de Lana,XL,Azul,3,130,390,Sí
2025-01-08,Pamplona,Publicidad,Sportwear,Camisetas,XL,Azul,3,30,90,Sí
2025-01-09,Bilbao,Publicidad,Jerseys,Chaqueta de Lana,L,Rojo,4,130,520,No
2025-01-04,Vitoria,Rebajas,Sportwear,Térmica,40,Gris,4,55,220,No
2025-01-07,Bilbao,Publicidad,Sportwear,Mallas,40,Rojo,2,45,90,No
2025-01-18,Bilbao,Rebajas,Sportwear,Térmica,42,Blanco,5,55,275,No
2025-01-02,Bilbao,Rebajas,Jerseys,Chaqueta de Lana,M,Verde,4,130,520,No
2025-01-06,Vitoria,Rebajas,Calzado,Botas,S,Negro,4,110,440,No
2025-01-20,Donostia,Publicidad,Calzado,Zapatillas,38,Azul,3,75,225,No
2025-01-11,Vitoria,Publicidad,Chaquetas,Plumífero,M,Verde,5,150,750,No
2025-01-08,Bilbao,Publicidad,Chaquetas,Plumífero,S,Verde,4,150,600,Sí
2025-01-15,Vitoria,Publicidad,Calzado,Sandalias,M,Verde,4,40,160,No
2025-01-14,Pamplona,Rebajas,Sportwear,Térmica,40,Negro,1,55,55,Sí
2025-01-02,Bilbao,Rebajas,Calzado,Sandalias,42,Negro,2,40,80,Sí
2025-01-27,Donostia,Rebajas,Calzado,Zapatillas,M,Azul,2,75,150,No
2025-01-01,Pamplona,Publicidad,Calzado,Sandalias,42,Gris,1,40,40,No
2025-01-25,Donostia,Rebajas,Chaquetas,Plumífero,M,Azul,5,150,750,No
2025-01-20,Donostia,Rebajas,Calzado,Zapatillas,L,Blanco,2,75,150,No
2025-01-27,Pamplona,Rebajas,Pantalones,Chándal,38,Rojo,5,60,300,No
2025-01-11,Bilbao,Publicidad,Sportwear,Camisetas,40,Azul,4,30,120,Sí
2025-01-21,Pamplona,Publicidad,Sportwear,Camisetas,38,Verde,3,30,90,No
2025-01-26,Bilbao,Publicidad,Sportwear,Camisetas,44,Gris,5,30,150,Sí
2025-01-12,Vitoria,Publicidad,Sportwear,Camisetas,M,Gris,2,30,60,Sí
2025-01-11,Bilbao,Publicidad,Pantalones,Chándal,44,Azul,2,60,120,Sí
2025-01-20,Donostia,Publicidad,Sportwear,Térmica,42,Blanco,3,55,165,Sí
2025-01-05,Vitoria,Rebajas,Calzado,Zapatillas,42,Blanco,1,75,75,No
2025-01-12,Bilbao,Publicidad,Pantalones,Chándal,38,Negro,3,60,180,Sí
2025-01-26,Donostia,Publicidad,Chaquetas,Anorak,XL,Gris,4,120,480,Sí
2025-01-01,Vitoria,Rebajas,Chaquetas,Anorak,M,Gris,1,120,120,Sí
2025-01-11,Bilbao,Publicidad,Chaquetas,Plumífero,XL,Verde,3,150,450,No
2025-01-02,Donostia,Publicidad,Sportwear,Mallas,M,Negro,2,45,90,No
2025-01-05,Pamplona,Publicidad,Chaquetas,Anorak,S,Rojo,4,120,480,No
2025-01-26,Bilbao,Publicidad,Jerseys,Forro Polar,44,Blanco,4,80,320,No
2025-01-18,Pamplona,Publicidad,Pantalones,Chándal,L,Gris,5,60,300,No
2025-01-01,Pamplona,Publicidad,Calzado,Sandalias,42,Azul,2,40,80,No
2025-01-19,Pamplona,Rebajas,Chaquetas,Plumífero,L,Verde,1,150,150,No
2025-01-09,Donostia,Rebajas,Calzado,Zapatillas,42,Gris,5,75,375,Sí
2025-01-03,Donostia,Publicidad,Calzado,Sandalias,M,Rojo,3,40,120,No
2025-01-07,Vitoria,Rebajas,Calzado,Zapatillas,40,Negro,4,75,300,Sí
2025-01-04,Pamplona,Rebajas,Sportwear,Mallas,S,Rojo,2,45,90,Sí
2025-01-13,Vitoria,Publicidad,Jerseys,Forro Polar,M,Rojo,4,80,320,No
2025-01-18,Vitoria,Rebajas,Calzado,Zapatillas,XL,Rojo,2,75,150,No
2025-01-03,Vitoria,Publicidad,Chaquetas,Plumífero,38,Gris,5,150,750,Sí
2025-01-17,Vitoria,Publicidad,Chaquetas,Plumífero,42,Verde,1,150,150,Sí
2025-01-15,Bilbao,Publicidad,Pantalones,Chándal,M,Rojo,4,60,240,Sí
2025-01-19,Pamplona,Publicidad,Jerseys,Forro Polar,38,Verde,5,80,400,Sí
2025-01-23,Bilbao,Publicidad,Pantalones,Chándal,38,Blanco,2,60,120,No
2025-01-17,Pamplona,Rebajas,Calzado,Sandalias,38,Verde,3,40,120,No
2025-01-25,Vitoria,Publicidad,Pantalones,Chándal,S,Verde,4,60,240,No
2025-01-24,Donostia,Rebajas,Calzado,Zapatillas,40,Rojo,4,75,300,No
2025-01-25,Donostia,Publicidad,Calzado,Sandalias,S,Rojo,3,40,120,Sí
2025-01-03,Donostia,Publicidad,Sportwear,Mallas,44,Blanco,4,45,180,No
2025-01-10,Pamplona,Rebajas,Sportwear,Mallas,40,Rojo,2,45,90,Sí
2025-01-01,Pamplona,Rebajas,Sportwear,Térmica,M,Blanco,3,55,165,Sí
2025-01-12,Bilbao,Rebajas,Jerseys,Forro Polar,S,Negro,3,80,240,No
2025-01-16,Donostia,Publicidad,Jerseys,Forro Polar,42,Verde,3,80,240,Sí
2025-01-10,Bilbao,Rebajas,Calzado,Sandalias,42,Gris,1,40,40,No
2025-01-24,Vitoria,Rebajas,Pantalones,Montaña,38,Verde,1,90,90,Sí
2025-01-14,Pamplona,Rebajas,Calzado,Sandalias,40,Gris,4,40,160,No
2025-01-05,Bilbao,Rebajas,Chaquetas,Anorak,S,Azul,3,120,360,No
2025-01-07,Bilbao,Rebajas,Jerseys,Forro Polar,40,Blanco,4,80,320,Sí
2025-01-07,Bilbao,Rebajas,Pantalones,Montaña,S,Azul,5,90,450,No
2025-01-04,Pamplona,Rebajas,Jerseys,Chaqueta de Lana,S,Blanco,4,130,520,Sí
2025-01-03,Donostia,Rebajas,Calzado,Sandalias,XL,Blanco,4,40,160,Sí
2025-01-21,Donostia,Rebajas,Calzado,Botas,XL,Blanco,5,110,550,No
2025-01-20,Donostia,Rebajas,Chaquetas,Plumífero,44,Gris,1,150,150,Sí
2025-01-10,Pamplona,Publicidad,Sportwear,Camisetas,L,Negro,4,30,120,Sí
2025-01-02,Bilbao,Rebajas,Chaquetas,Anorak,L,Gris,5,120,600,Sí
2025-01-22,Donostia,Publicidad,Sportwear,Térmica,M,Blanco,2,55,110,No
2025-01-17,Pamplona,Rebajas,Chaquetas,Anorak,S,Azul,2,120,240,Sí
2025-01-24,Pamplona,Publicidad,Calzado,Sandalias,38,Negro,5,40,200,Sí
2025-01-25,Donostia,Rebajas,Calzado,Sandalias,L,Blanco,3,40,120,No
2025-01-28,Vitoria,Rebajas,Calzado,Sandalias,42,Negro,4,40,160,Sí
2025-01-13,Bilbao,Publicidad,Calzado,Sandalias,44,Azul,1,40,40,No
2025-01-22,Bilbao,Publicidad,Chaquetas,Anorak,40,Rojo,1,120,120,Sí
2025-01-13,Donostia,Rebajas,Calzado,Sandalias,XL,Verde,2,40,80,Sí
2025-01-09,Vitoria,Rebajas,Sportwear,Térmica,S,Verde,2,55,110,Sí
2025-01-05,Vitoria,Publicidad,Jerseys,Chaqueta de Lana,40,Verde,4,130,520,Sí
2025-01-23,Donostia,Publicidad,Chaquetas,Plumífero,XL,Azul,5,150,750,Sí
2025-01-18,Pamplona,Rebajas,Calzado,Sandalias,38,Gris,2,40,80,Sí
2025-01-15,Bilbao,Rebajas,Chaquetas,Plumífero,M,Verde,4,150,600,Sí
2025-01-11,Donostia,Publicidad,Sportwear,Térmica,42,Gris,2,55,110,Sí
2025-01-10,Bilbao,Publicidad,Chaquetas,Anorak,42,Negro,1,120,120,No
2025-01-09,Vitoria,Publicidad,Calzado,Botas,XL,Azul,1,110,110,No
2025-01-10,Donostia,Publicidad,Pantalones,Montaña,42,Verde,1,90,90,No
2025-01-06,Donostia,Publicidad,Jerseys,Forro Polar,L,Gris,2,80,160,No
2025-01-19,Pamplona,Publicidad,Chaquetas,Plumífero,XL,Negro,3,150,450,No
2025-01-24,Pamplona,Publicidad,Sportwear,Mallas,XL,Azul,4,45,180,Sí
2025-01-26,Vitoria,Publicidad,Jerseys,Chaqueta de Lana,44,Gris,2,130,260,No
2025-01-11,Vitoria,Rebajas,Calzado,Sandalias,S,Blanco,1,40,40,No
2025-01-22,Donostia,Publicidad,Calzado,Zapatillas,M,Azul,3,75,225,Sí
2025-01-11,Donostia,Rebajas,Sportwear,Mallas,XL,Rojo,2,45,90,No
2025-01-23,Pamplona,Publicidad,Chaquetas,Plumífero,38,Gris,4,150,600,No
2025-01-15,Vitoria,Publicidad,Chaquetas,Plumífero,L,Azul,4,150,600,No
2025-01-03,Pamplona,Publicidad,Pantalones,Montaña,40,Azul,4,90,360,No
2025-01-01,Bilbao,Publicidad,Pantalones,Chándal,M,Verde,4,60,240,No
2025-01-03,Vitoria,Publicidad,Calzado,Zapatillas,L,Verde,2,75,150,Sí
2025-01-05,Vitoria,Publicidad,Jerseys,Chaqueta de Lana,44,Blanco,4,130,520,Sí
2025-01-04,Vitoria,Rebajas,Calzado,Zapatillas,S,Verde,2,75,150,No
2025-01-24,Donostia,Publicidad,Jerseys,Forro Polar,42,Verde,1,80,80,Sí
2025-01-25,Pamplona,Rebajas,Sportwear,Mallas,38,Rojo,3,45,135,No
2025-01-25,Donostia,Rebajas,Calzado,Zapatillas,38,Gris,5,75,375,No
2025-01-01,Bilbao,Rebajas,Pantalones,Montaña,S,Rojo,5,90,450,No
2025-01-15,Bilbao,Rebajas,Sportwear,Camisetas,42,Negro,4,30,120,Sí
2025-01-05,Donostia,Rebajas,Calzado,Botas,38,Rojo,4,110,440,No
2025-01-25,Vitoria,Rebajas,Pantalones,Chándal,44,Blanco,1,60,60,No
2025-01-14,Vitoria,Publicidad,Jerseys,Forro Polar,S,Negro,3,80,240,Sí
2025-01-05,Vitoria,Publicidad,Calzado,Sandalias,38,Verde,4,40,160,No
2025-01-11,Bilbao,Rebajas,Sportwear,Mallas,42,Negro,5,45,225,Sí
2025-01-06,Bilbao,Publicidad,Sportwear,Camisetas,44,Rojo,2,30,60,No
2025-01-22,Bilbao,Publicidad,Calzado,Zapatillas,M,Azul,4,75,300,Sí
2025-01-07,Pamplona,Rebajas,Pantalones,Montaña,M,Blanco,4,90,360,No
2025-01-02,Vitoria,Rebajas,Jerseys,Chaqueta de Lana,XL,Gris,5,130,650,Sí
2025-01-19,Donostia,Rebajas,Chaquetas,Plumífero,38,Rojo,4,150,600,Sí
2025-01-04,Bilbao,Publicidad,Calzado,Zapatillas,S,Negro,2,75,150,Sí
2025-01-20,Bilbao,Rebajas,Pantalones,Chándal,40,Azul,2,60,120,No
2025-01-03,Pamplona,Rebajas,Sportwear,Térmica,S,Verde,4,55,220,Sí
2025-01-16,Pamplona,Rebajas,Pantalones,Chándal,44,Negro,3,60,180,Sí
2025-01-25,Donostia,Publicidad,Chaquetas,Anorak,44,Rojo,2,120,240,No
2025-01-14,Bilbao,Publicidad,Chaquetas,Plumífero,S,Verde,3,150,450,Sí
2025-01-28,Bilbao,Publicidad,Sportwear,Camisetas,44,Rojo,5,30,150,Sí
2025-01-14,Bilbao,Publicidad,Sportwear,Mallas,M,Azul,3,45,135,No
2025-01-04,Vitoria,Rebajas,Calzado,Zapatillas,42,Azul,2,75,150,Sí
2025-01-24,Vitoria,Publicidad,Pantalones,Montaña,M,Verde,3,90,270,Sí
2025-01-01,Vitoria,Publicidad,Sportwear,Camisetas,M,Verde,5,30,150,No
2025-01-21,Donostia,Rebajas,Chaquetas,Anorak,S,Azul,4,120,480,Sí
2025-01-14,Pamplona,Publicidad,Calzado,Botas,40,Gris,1,110,110,No
2025-01-02,Pamplona,Publicidad,Calzado,Zapatillas,40,Verde,4,75,300,No
2025-01-18,Bilbao,Publicidad,Calzado,Botas,M,Verde,1,110,110,Sí
2025-01-11,Pamplona,Rebajas,Jerseys,Forro Polar,S,Rojo,4,80,320,No
2025-01-19,Donostia,Publicidad,Pantalones,Chándal,42,Gris,2,60,120,Sí
2025-01-23,Bilbao,Publicidad,Sportwear,Térmica,L,Rojo,4,55,220,Sí
2025-01-28,Vitoria,Publicidad,Sportwear,Térmica,44,Azul,5,55,275,Sí
2025-01-12,Bilbao,Rebajas,Jerseys,Chaqueta de Lana,42,Verde,2,130,260,No
2025-01-11,Donostia,Rebajas,Calzado,Zapatillas,XL,Negro,2,75,150,No
2025-01-24,Pamplona,Rebajas,Sportwear,Mallas,40,Verde,3,45,135,Sí
2025-01-08,Donostia,Publicidad,Sportwear,Camisetas,38,Azul,3,30,90,Sí
2025-01-17,Vitoria,Publicidad,Calzado,Botas,XL,Rojo,2,110,220,No
2025-01-08,Bilbao,Publicidad,Calzado,Zapatillas,S,Negro,2,75,150,Sí
2025-01-11,Vitoria,Rebajas,Chaquetas,Plumífero,S,Rojo,3,150,450,No
2025-01-06,Donostia,Publicidad,Calzado,Zapatillas,44,Gris,4,75,300,Sí
2025-01-07,Bilbao,Publicidad,Calzado,Sandalias,42,Negro,3,40,120,Sí
2025-01-11,Vitoria,Rebajas,Sportwear,Térmica,S,Rojo,2,55,110,Sí
2025-01-11,Pamplona,Rebajas,Sportwear,Mallas,XL,Gris,3,45,135,No
2025-01-06,Vitoria,Rebajas,Pantalones,Chándal,L,Azul,4,60,240,Sí
2025-01-12,Vitoria,Publicidad,Calzado,Botas,XL,Negro,4,110,440,Sí
2025-01-07,Bilbao,Rebajas,Chaquetas,Plumífero,M,Rojo,1,150,150,No
2025-01-19,Vitoria,Rebajas,Calzado,Botas,XL,Gris,4,110,440,Sí
2025-01-07,Bilbao,Publicidad,Jerseys,Forro Polar,L,Negro,2,80,160,Sí
2025-01-24,Vitoria,Rebajas,Chaquetas,Plumífero,S,Verde,1,150,150,Sí
2025-01-05,Donostia,Publicidad,Chaquetas,Plumífero,S,Gris,1,150,150,No
2025-01-28,Pamplona,Publicidad,Calzado,Botas,XL,Negro,4,110,440,No
2025-01-15,Donostia,Publicidad,Calzado,Zapatillas,L,Negro,2,75,150,No
2025-01-11,Pamplona,Rebajas,Sportwear,Camisetas,42,Negro,5,30,150,Sí
2025-01-22,Pamplona,Rebajas,Pantalones,Montaña,38,Verde,1,90,90,Sí
2025-01-24,Vitoria,Rebajas,Jerseys,Chaqueta de Lana,42,Blanco,3,130,390,Sí
2025-01-21,Bilbao,Rebajas,Chaquetas,Plumífero,M,Rojo,1,150,150,No
2025-01-05,Pamplona,Publicidad,Calzado,Sandalias,S,Rojo,5,40,200,Sí
2025-01-16,Vitoria,Rebajas,Chaquetas,Plumífero,40,Blanco,4,150,600,Sí
2025-01-25,Donostia,Publicidad,Calzado,Zapatillas,40,Verde,2,75,150,Sí
2025-01-21,Donostia,Publicidad,Sportwear,Térmica,XL,Azul,3,55,165,No
2025-01-09,Vitoria,Rebajas,Pantalones,Chándal,S,Negro,5,60,300,No
2025-01-20,Pamplona,Publicidad,Sportwear,Mallas,M,Verde,4,45,180,No
2025-01-09,Bilbao,Rebajas,Chaquetas,Anorak,44,Verde,2,120,240,Sí
2025-01-02,Pamplona,Rebajas,Sportwear,Mallas,40,Rojo,2,45,90,Sí
2025-01-05,Pamplona,Rebajas,Calzado,Botas,XL,Azul,2,110,220,Sí
2025-01-15,Donostia,Publicidad,Sportwear,Térmica,S,Negro,3,55,165,No
2025-01-16,Bilbao,Publicidad,Pantalones,Chándal,40,Azul,4,60,240,Sí
2025-01-24,Donostia,Rebajas,Calzado,Zapatillas,42,Azul,4,75,300,No
2025-01-24,Pamplona,Publicidad,Calzado,Zapatillas,M,Azul,4,75,300,No
2025-01-13,Donostia,Publicidad,Jerseys,Chaqueta de Lana,S,Verde,2,130,260,No
2025-01-18,Bilbao,Rebajas,Sportwear,Camisetas,M,Blanco,5,30,150,Sí
2025-01-14,Vitoria,Rebajas,Pantalones,Chándal,44,Negro,1,60,60,No
2025-01-27,Donostia,Publicidad,Pantalones,Montaña,L,Negro,3,90,270,Sí
2025-01-14,Bilbao,Rebajas,Chaquetas,Plumífero,42,Verde,5,150,750,Sí
2025-01-14,Vitoria,Rebajas,Pantalones,Montaña,38,Negro,5,90,450,No
2025-01-27,Pamplona,Rebajas,Pantalones,Chándal,L,Verde,5,60,300,No
2025-01-08,Donostia,Rebajas,Jerseys,Forro Polar,XL,Negro,3,80,240,No
2025-01-23,Pamplona,Publicidad,Calzado,Zapatillas,XL,Rojo,3,75,225,Sí
2025-01-06,Vitoria,Rebajas,Calzado,Zapatillas,38,Azul,5,75,375,No
2025-01-12,Donostia,Rebajas,Jerseys,Forro Polar,L,Gris,5,80,400,Sí
2025-01-23,Donostia,Publicidad,Pantalones,Montaña,L,Gris,2,90,180,No
2025-01-06,Bilbao,Publicidad,Calzado,Botas,XL,Azul,2,110,220,Sí
2025-01-20,Pamplona,Publicidad,Jerseys,Forro Polar,M,Negro,2,80,160,Sí
2025-01-06,Bilbao,Publicidad,Sportwear,Mallas,44,Verde,1,45,45,No
